#SEMS Sensor Voltages
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#--------------------------------------------------------
#Date	Time	Secs	SampLFEVolt	XsLFEVolt	ShLFEVolt	ImpdPVolt	PressVolt	RHVolt	TempVolt	BoardTempVolt
231031	18:17:54.440	172	1.47493324	1.61474734	1.51730907	3.25478690	4.10177425	0.03831513	3.33249462	4.50874796
231031	18:17:55.440	173	1.46686788	1.60526821	1.51915881	3.25484295	4.10151268	0.03791031	3.33218944	4.50771410
231031	18:17:56.440	174	1.47028086	1.61367611	1.52085908	3.25446927	4.10178048	0.03769232	3.33216453	4.50691067
231031	18:17:57.443	175	1.46417735	1.60581005	1.51485521	3.25519173	4.10157496	0.03805355	3.33245102	4.50598892
231031	18:17:58.443	176	1.46227155	1.60609654	1.51502337	3.25449418	4.10159987	0.03831513	3.33251330	4.50526023
231031	18:17:59.444	177	1.46808235	1.60538031	1.52051653	3.25495506	4.10209811	0.03837118	3.33268146	4.50464988
231031	18:18:00.445	178	1.46783323	1.60576645	1.51487389	3.25459383	4.10150022	0.03775460	3.33175348	4.50405199
231031	18:18:01.445	179	1.46612051	1.60970260	1.51694162	3.25452532	4.10116390	0.03800995	3.33190295	4.50353506
231031	18:18:02.446	180	1.46835016	1.60434645	1.51978162	3.25482427	4.10171197	0.03815320	3.33264409	4.50296830
231031	18:18:03.452	181	1.46775226	1.60542391	1.51854846	3.25471216	4.10112031	0.03798504	3.33223304	4.50264444
231031	18:18:04.457	182	1.47127113	1.61117865	1.52060372	3.25484918	4.10127601	0.03784180	3.33230155	4.50217734
231031	18:18:05.457	183	1.47582385	1.60925418	1.51671118	3.25450664	4.10146285	0.03789785	3.33223304	4.50194067
231031	18:18:06.462	184	1.47462806	1.60838847	1.51981276	3.25517927	4.10139434	0.03811583	3.33208357	4.50166663
231031	18:18:07.462	185	1.47102200	1.60726742	1.51793188	3.25499865	4.10138811	0.03799127	3.33243234	4.50161681
231031	18:18:08.462	186	1.47200604	1.61013856	1.51526003	3.25445058	4.10104557	0.03779820	3.33184067	4.50142997
231031	18:18:09.462	187	1.47265376	1.61036900	1.51732153	3.25461251	4.10077153	0.03752416	3.33212093	4.50140505
231031	18:18:10.466	188	1.46626375	1.60635812	1.51626276	3.25458760	4.10137566	0.03803487	3.33197146	4.50141128
231031	18:18:11.466	189	1.46864288	1.61108523	1.51532232	3.25498620	4.10161232	0.03792276	3.33245102	4.50133655
231031	18:18:12.466	190	1.46679314	1.60543636	1.51862942	3.25469348	4.10115145	0.03832759	3.33225172	4.50141751
231031	18:18:13.466	191	1.46726647	1.61246164	1.52007434	3.25470594	4.10130715	0.03794145	3.33205243	4.50154830
231031	18:18:14.469	192	1.46519875	1.60596575	1.51992486	3.25501111	4.10118259	0.03781066	3.33157286	4.50179119
231031	18:18:15.469	193	1.46518629	1.60942856	1.51931451	3.25519173	4.10135075	0.03802241	3.33190918	4.50205900
231031	18:18:16.472	194	1.46849963	1.60767224	1.52216074	3.25478067	4.10121996	0.03832136	3.33227664	4.50224584
231031	18:18:17.472	195	1.46945253	1.60927286	1.51983767	3.25502357	4.10183654	0.03807846	3.33210848	4.50261953
231031	18:18:18.473	196	1.46575928	1.60582250	1.51418258	3.25416409	4.10159987	0.03795390	3.33252576	4.50298076
231031	18:18:19.473	197	1.46566586	1.60397277	1.51769521	3.25484918	4.10163101	0.03759267	3.33158532	4.50346032
231031	18:18:20.477	198	1.47060472	1.60723628	1.51822460	3.25493015	4.10184899	0.03783557	3.33189050	4.50388383
231031	18:18:21.478	199	1.46802007	1.60939742	1.52098364	3.25461874	4.10154382	0.03802241	3.33195278	4.50435093
231031	18:18:22.482	200	1.46476901	1.60646400	1.51585170	3.25448795	4.10164347	0.03812206	3.33203374	4.50480558
231031	18:18:23.487	201	1.47061095	1.60896146	1.51963837	3.25488032	4.10155627	0.03792276	3.33178462	4.50537234
231031	18:18:24.487	202	1.46776472	1.60326277	1.51892837	3.25510453	4.10137566	0.03791653	3.33186558	4.50595155
231031	18:18:25.492	203	1.46818200	1.60941611	1.51618179	3.25478067	4.10197355	0.03791031	3.33217076	4.50654945
231031	18:18:26.496	204	1.46853700	1.60785286	1.51793811	3.25433848	4.10155004	0.03791031	3.33208357	4.50706015
231031	18:18:27.496	205	1.46417112	1.60845698	1.51550916	3.25461874	4.10173689	0.03779820	3.33231400	4.50766427
231031	18:18:28.497	206	1.47095972	1.61166444	1.51851732	3.25522287	4.10151890	0.03776706	3.33208357	4.50829331
231031	18:18:29.497	207	1.46829410	1.61113505	1.51984390	3.25485541	4.10197355	0.03825285	3.33190295	4.50904690
231031	18:18:30.507	208	1.46503682	1.60536786	1.51786337	3.25510453	4.10184276	0.03779197	3.33150435	4.50967594
231031	18:18:31.508	209	1.46875498	1.60754145	1.51715337	3.25431357	4.10120127	0.03776706	3.33213962	4.51035480
231031	18:18:32.513	210	1.46553507	1.60543636	1.51976293	3.25481804	4.10143794	0.03811583	3.33192786	4.51127033
231031	18:18:33.513	211	1.46663744	1.60352434	1.51844881	3.25527269	4.10156873	0.03796013	3.33187181	4.51196165
231031	18:18:34.513	212	1.46489980	1.61012611	1.51735890	3.25509830	4.10159987	0.03796636	3.33149813	4.51276507
231031	18:18:35.522	213	1.46536068	1.60866251	1.51870416	3.25431979	4.10137566	0.03756153	3.33071962	4.51342524
231031	18:18:36.522	214	1.46818823	1.61193225	1.52148811	3.25456269	4.10169329	0.03791653	3.33155418	4.51415393
231031	18:18:37.522	215	1.46814463	1.60907356	1.51929583	3.25506716	4.10214794	0.03791031	3.33136111	4.51499472
231031	18:18:38.522	216	1.46840621	1.60704321	1.51681083	3.25443190	4.10155627	0.03797259	3.33147944	4.51570472
231031	18:18:39.524	217	1.46803253	1.60272092	1.51637486	3.25421392	4.10189882	0.03824662	3.33175971	4.51660156
231031	18:18:40.524	218	1.46615787	1.60681277	1.51789451	3.25443190	4.10132583	0.03827153	3.33167251	4.51748595
